,close,volume
2020-03-12,3950.91,15706045800.0
2020-03-13,3895.31,18829672200.0
2020-03-16,3727.84,18596826000.0
2020-03-17,3709.68,16624612900.0
2020-03-18,3636.26,15503754700.0
2020-03-19,3589.09,18080740700.0
2020-03-20,3653.22,13960300000.0
2020-03-23,3530.31,13710879000.0
2020-03-24,3625.11,14310302100.0
2020-03-25,3722.52,15349595800.0
2020-03-26,3698.05,11231066500.0
2020-03-27,3710.06,12406099500.0
2020-03-30,3674.11,12687667300.0
2020-03-31,3686.16,11145302500.0
2020-04-01,3675.08,11935262000.0
2020-04-02,3734.53,11516820900.0
2020-04-03,3713.22,9982508300.0
2020-04-07,3798.02,14277803000.0
2020-04-08,3780.34,11138951300.0
2020-04-09,3792.81,10048503200.0
2020-04-10,3769.18,10244495600.0
2020-04-13,3753.26,7905334300.0
2020-04-14,3825.7,11063758500.0
2020-04-15,3797.36,10846198400.0
2020-04-16,3802.38,9594796500.0
2020-04-17,3839.49,13200430100.0
2020-04-20,3853.46,10001311500.0
2020-04-21,3808.05,10292188800.0
2020-04-22,3839.38,8589946400.0
2020-04-23,3829.75,9550845000.0
2020-04-24,3796.97,9484413500.0
2020-04-27,3822.77,9546273500.0
2020-04-28,3849.15,12209347600.0
2020-04-29,3867.03,9585459000.0
2020-04-30,3912.58,13291712500.0
2020-05-06,3936.25,13985567500.0
2020-05-07,3924.89,10551464600.0
2020-05-08,3963.62,11694334100.0
2020-05-11,3960.18,12267380300.0
2020-05-12,3960.24,9825055400.0
2020-05-13,3968.25,8819066900.0
2020-05-14,3925.22,8853000400.0
2020-05-15,3912.82,9261838200.0
2020-05-18,3922.91,11280176200.0
2020-05-19,3956.25,9401529100.0
2020-05-20,3935.22,10079115000.0
2020-05-21,3913.79,9486103300.0
2020-05-22,3824.06,10337836000.0
2020-05-25,3829.32,7903332600.0
2020-05-26,3872.77,7744807600.0
2020-05-27,3845.61,8371183100.0
2020-05-28,3856.63,9306405400.0
2020-05-29,3867.02,9381383200.0
2020-06-01,3971.34,13645665200.0
2020-06-02,3983.57,14430306000.0
2020-06-03,3983.65,13659748300.0
2020-06-04,3982.19,10427773700.0
2020-06-05,4001.25,10244394200.0
2020-06-08,4021.95,13792581300.0
2020-06-09,4047.03,11530447900.0
